,Unnamed: 0,Match Datetime,Match Type,Team name,sc_ra,sc_ca,sc_la,scaled midfield,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,Midfielder_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,Midfielder_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
32,27.0,2024-08-23 20:00:00,Match 1 in round I of World Cup,Palestine,10.230411994630705,11.392958812202377,10.462921358145039,15.918732672539647,11.0,18.5,18.25,18.5,11.0,12.25,11.25,11.5,7.75,(no tactic),0,14.5,-50,1.4,0,3,5.0,2,,A,Angola,11.0,18.0,17.5,18.0,12.75,14.0,14.0,12.5,9.75,Play creatively,27.0,18.5,40.0,2.8,6,3.0,5.0,2.0,,H,WC1,Ang,2024-08-23,3-5.0-2,3.0-5.0-2.0,N,88,15.918732672539647
33,28.0,2024-08-16 20:00:00,Friendly match,Palestine,,,,,6.25,17.0,22.0,15.25,11.0,11.0,11.0,9.75,7.25,Counter-attacks,13,9.25,-100,1.0,1,3,4.0,3,,A,Cabo Verde,8.0,14.0,16.5,15.25,12.5,10.5,8.75,11.5,8.5,(no tactic),0.0,14.0,0.0,1.1,1,4.0,4.0,2.0,,H,F,Cab,2024-08-16,3-4.0-3,4.0-4.0-2.0,CA,88,
34,29.0,2024-08-09 20:00:00,Friendly match,Palestine,,,,,5.25,19.25,22.5,19.5,9.0,10.25,10.75,10.0,7.25,Counter-attacks,16,9.25,-100,0.8,1,4,4.0,2,,H,Uganda,6.0,15.5,17.25,15.75,13.0,12.0,11.25,10.5,7.75,Counter-attacks,20.0,9.75,100.0,1.1,1,5.0,3.0,2.0,,A,F,Uga,2024-08-09,4-4.0-2,5.0-3.0-2.0,CA,88,
35,30.0,2024-08-02 12:00:00,Round 10 in Asia and Oceania Cup,Palestine,9.745001373813638,12.181251717267049,12.402729021217358,15.579356040240462,17.5,16.0,17.75,17.0,11.0,13.75,14.0,11.25,7.5,(no tactic),0,15.0,0,1.8,1,3,5.0,2,,A,Indonesia,17.0,16.75,15.25,16.25,10.5,14.0,17.75,11.75,9.75,(no tactic),0.0,13.5,0.0,1.7,1,3.0,5.0,2.0,,H,CC,Ind,2024-08-02,3-5.0-2,3.0-5.0-2.0,N,88,15.579356040240462
36,31.0,2024-07-26 12:00:00,Round 9 in Asia and Oceania Cup,Palestine,5.460489088800972,7.426265160769322,12.231495558914178,7.764399507938578,7.75,27.0,26.75,24.75,6.25,8.5,14.0,12.25,8.25,Counter-attacks,21,14.0,-100,0.4,0,5,3.0,2,,H,Dhivehi Raajje,12.25,22.75,24.25,23.25,12.5,11.75,11.75,11.75,8.0,Counter-attacks,17.0,15.0,-100.0,0.7,0,4.0,4.0,2.0,,A,CC,Dhi,2024-07-26,5-3.0-2,4.0-4.0-2.0,CA,88,7.764399507938578
37,32.0,2024-07-19 12:00:00,Round 8 in Asia and Oceania Cup,Palestine,10.852616119181357,11.983096964929414,10.852616119181357,13.291559728362893,16.25,18.75,18.5,18.25,12.0,13.25,12.0,11.0,8.0,(no tactic),0,15.75,0,2.6,5,3,5.0,2,,H,Pakistan,16.0,14.0,12.5,13.75,15.75,15.75,14.0,11.25,9.5,(no tactic),0.0,14.0,90.0,1.8,1,3.0,5.0,2.0,,A,CC,Pak,2024-07-19,3-5.0-2,3.0-5.0-2.0,N,88,13.291559728362893
38,33.0,2024-07-12 12:00:00,Round 7 in Asia and Oceania Cup,Palestine,11.659686794545173,6.81981680435661,13.199645427786988,7.892217063627695,7.0,25.0,23.75,25.0,13.25,7.75,15.0,11.75,8.25,Counter-attacks,21,15.5,-100,0.9,1,5,3.0,2,,A,China,16.75,17.0,15.5,16.75,18.75,13.75,17.5,11.0,7.25,(no tactic),0.0,13.0,50.0,1.6,2,3.0,5.0,2.0,,H,CC,Chi,2024-07-12,5-3.0-2,3.0-5.0-2.0,CA,88,7.892217063627695
39,34.0,2024-07-05 12:00:00,Round 6 in Asia and Oceania Cup,Palestine,11.244268346088433,12.368695180697275,9.220300043792514,12.707413937973767,13.5,19.0,19.25,18.5,12.5,13.75,10.25,10.75,7.5,(no tactic),0,16.25,0,1.4,2,3,5.0,2,,H,Dawlat Qatar,7.0,21.0,22.5,21.5,12.25,13.0,12.75,11.0,8.25,Counter-attacks,15.0,16.75,-90.0,0.7,0,4.0,3.0,3.0,,A,CC,Daw,2024-07-05,3-5.0-2,4.0-3.0-3.0,N,88,12.707413937973767
40,35.0,2024-06-28 12:00:00,Round 5 in Asia and Oceania Cup,Palestine,10.83511058522794,11.065644852998746,9.221370710832288,13.45629610767896,14.25,18.75,19.5,18.75,11.75,12.0,10.0,11.0,8.0,(no tactic),0,14.5,-30,1.6,2,3,5.0,2,,H,Indonesia,13.25,16.0,18.25,15.75,10.0,14.5,11.75,12.0,10.5,(no tactic),0.0,13.5,-20.0,1.7,0,3.0,5.0,2.0,,A,CC,Ind,2024-06-28,3-5.0-2,3.0-5.0-2.0,N,88,13.45629610767896
41,36.0,2024-06-24 12:00:00,Round 4 in Asia and Oceania Cup,Palestine,15.919555776326524,7.128159302832771,7.3657646129271965,7.337910854000473,6.0,24.75,24.75,25.75,16.75,7.5,7.75,11.75,8.25,Counter-attacks,21,12.5,-100,0.9,2,5,3.0,2,,A,Dhivehi Raajje,13.75,14.5,12.5,14.5,17.75,19.75,16.75,10.25,8.0,(no tactic),0.0,16.75,40.0,2.4,0,3.0,4.0,3.0,,H,CC,Dhi,2024-06-24,5-3.0-2,3.0-4.0-3.0,CA,88,7.337910854000473
