,Unnamed: 0.1,Unnamed: 0,Match Datetime,Match Type,sc_ra,sc_ca,sc_la,Team name,scaled midfield,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
22,22,17.0,2024-10-04 20:00:00,Match 8 in round I of World Cup,11.387563969919759,11.13450699281043,11.387563969919759,Bahrain,12.182073703123617,9.75,23.25,23.0,22.0,11.25,11.0,11.25,11.5,8.25,Counter-attacks,18,12.25,-100,0.8,2,4,4,2,H,Al Maghrib,15.5,14.75,16.0,17.0,14.25,16.0,14.0,12.75,10.25,(no tactic),0.0,15.75,60.0,1.4,2,3.0,5.0,2.0,A,WC1,Al ,2024-10-04,4-4-2,3.0-5.0-2.0,CA,88,12.182073703123617
23,23,18.0,2024-09-27 20:00:00,Match 7 in round I of World Cup,13.849485244840704,16.67067668360455,13.849485244840704,Bahrain,15.321615707568148,15.0,15.5,15.0,15.5,13.5,16.25,13.5,10.5,8.25,(no tactic),0,11.25,0,2.0,3,3,4,3,H,Dhivehi Raajje,15.5,16.0,14.5,16.25,14.5,17.0,16.0,11.25,8.75,(no tactic),0.0,16.25,30.0,2.9,2,3.0,5.0,2.0,A,WC1,Dhi,2024-09-27,3-4-3,3.0-5.0-2.0,N,88,15.321615707568148
24,24,19.0,2024-09-20 20:00:00,Match 6 in round I of World Cup,12.295117770841312,9.417537015963559,13.864707273501905,Bahrain,12.929584684794714,9.0,22.0,21.25,21.75,11.75,9.0,13.25,11.0,7.5,Counter-attacks,18,12.25,-90,0.8,2,4,4,2,A,Trinidad & Tobago,16.25,16.5,15.75,16.75,14.25,15.25,13.75,9.75,6.75,(no tactic),0.0,11.75,0.0,1.9,1,3.0,5.0,2.0,H,WC1,Tri,2024-09-20,4-4-2,3.0-5.0-2.0,CA,88,12.929584684794714
25,25,20.0,2024-09-13 20:00:00,Match 5 in round I of World Cup,11.760275007839466,10.45357778474619,11.49893556322081,Bahrain,12.836207075610622,8.5,22.5,22.5,22.25,11.25,10.0,11.0,10.5,7.5,Counter-attacks,19,12.0,-100,1.4,2,4,4,2,A,Island,13.25,13.0,10.25,13.0,18.75,21.0,18.5,11.0,9.25,(no tactic),0.0,12.5,100.0,2.9,3,2.0,5.0,3.0,H,WC1,Isl,2024-09-13,4-4-2,2.0-5.0-3.0,CA,88,12.836207075610622
26,26,21.0,2024-09-06 20:00:00,Match 4 in round I of World Cup,12.95952036412785,12.95952036412785,13.229510371713847,Bahrain,15.206873686319737,14.75,16.5,17.25,16.25,12.0,12.0,12.25,10.0,7.5,(no tactic),0,12.5,0,1.4,3,3,5,2,H,Latvija,10.75,19.5,21.5,20.25,15.75,14.75,15.75,12.0,9.25,Counter-attacks,19.0,12.5,0.0,2.4,1,4.0,4.0,2.0,A,WC1,Lat,2024-09-06,3-5-2,4.0-4.0-2.0,N,88,15.206873686319737
27,27,22.0,2024-08-30 20:00:00,Match 3 in round I of World Cup,7.8955684026958,7.07878546448589,9.801395258518925,Bahrain,15.442896530491195,10.5,24.0,23.75,23.25,7.25,6.5,9.0,11.0,7.5,Pressing,13,15.0,-100,0.2,0,4,5,1,A,Al Maghrib,7.0,30.25,32.5,29.0,10.25,4.5,11.0,13.75,8.0,Counter-attacks,26.0,12.75,-100.0,0.4,1,5.0,3.0,2.0,H,WC1,Al ,2024-08-30,4-5-1,5.0-3.0-2.0,Pr,88,15.442896530491195
28,28,23.0,2024-08-26 20:00:00,Match 2 in round I of World Cup,12.32865847487956,11.541722827546824,12.32865847487956,Bahrain,13.284887944657372,8.25,22.0,21.75,21.75,11.75,11.0,11.75,10.5,8.0,Counter-attacks,18,15.25,-100,1.0,0,4,4,2,A,Dhivehi Raajje,11.75,18.0,16.5,17.5,13.75,15.0,14.25,11.75,9.25,(no tactic),0.0,14.75,20.0,1.9,3,3.0,5.0,2.0,H,WC1,Dhi,2024-08-26,4-4-2,3.0-5.0-2.0,CA,88,13.284887944657372
29,29,24.0,2024-08-23 20:00:00,Match 1 in round I of World Cup,14.173864488526574,14.426969211535976,12.402131427460752,Bahrain,16.001356826673604,10.75,17.0,17.25,16.5,14.0,14.25,12.25,11.0,8.75,(no tactic),0,14.75,0,1.1,0,3,5,2,H,Trinidad & Tobago,7.5,20.75,23.25,22.0,11.5,10.25,10.25,10.25,6.75,Counter-attacks,16.0,11.0,-100.0,0.8,2,4.0,4.0,2.0,A,WC1,Tri,2024-08-23,3-5-2,4.0-4.0-2.0,N,88,16.001356826673604
30,30,25.0,2024-08-16 20:00:00,Wildcard match 2 in World Cup,12.981673135194688,11.483787773441453,12.732025574902481,Bahrain,13.052778406720932,9.5,22.0,22.0,22.0,13.0,11.5,12.75,10.75,8.25,Counter-attacks,18,15.0,-100,2.0,2,4,4,2,A,United Arab Emirates,15.0,8.5,11.25,12.5,16.0,19.0,16.5,11.0,10.0,(no tactic),0.0,17.5,100.0,2.5,2,2.0,5.0,3.0,H,Q,Uni,2024-08-16,4-4-2,2.0-5.0-3.0,CA,88,13.052778406720932
31,31,26.0,2024-08-12 20:00:00,Wildcard match 1 in World Cup,13.667655042507766,15.439388103573588,13.667655042507766,Bahrain,15.863670733048735,12.25,16.25,16.75,17.0,13.5,15.25,13.5,10.75,8.25,(no tactic),0,11.75,0,1.2,2,3,5,2,H,United Arab Emirates,10.25,21.0,24.0,20.0,11.75,11.5,11.0,11.75,8.0,Counter-attacks,17.0,14.0,-100.0,1.1,1,4.0,4.0,2.0,A,Q,Uni,2024-08-12,3-5-2,4.0-4.0-2.0,N,88,15.863670733048735
