,Match Datetime,campaign,Competition,scaled midfield,sc_ra,sc_ca,sc_la,Team name,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,Opponent,Match Date,Tactic short,Match Type,scaled_midfield,T_C
64,2024-08-02 20:00:00+02:00,88,Europe Cup,11.666,15.0998,16.3176,15.5869,Lietuva,17.0,13.75,14.5,15.0,15.5,16.75,16.0,8.5,11.0,Normal,0,0,3-5-2,3,5,2,2,10,16,ZQEUEUUUHHQPEQ,00000000000None,H,Portugal,6.25,23.5,25.5,24.75,14.25,7.5,14.5,9.5,13.0,Counter-attacks,24,0,5-3-2,5,3,2,1,-10,12,ZHHUHHQHEEQUEH,,A,Por,2024-08-02,N,CC,11.665971088941433,AoA
65,2024-07-26 20:00:00+02:00,88,Europe Cup,12.56,14.0326,14.7584,13.5487,Lietuva,16.25,16.0,15.75,16.0,14.5,15.25,14.0,8.0,11.0,Normal,0,0,3-5-2,3,5,2,1,0,16,ZQEUEHUUHHQWEQ,,A,Osterreich,10.5,21.25,22.75,21.5,14.75,11.25,16.0,8.25,11.75,Counter-attacks,19,0,4-4-2,4,4,2,1,-8,13,ZQUEHQQHEHHQEU,00000000000None,H,Ost,2024-07-26,N,CC,12.559960657277164,bal
66,2024-07-19 20:00:00+02:00,88,Europe Cup,8.2063,18.3033,7.3213,18.0592,Lietuva,10.5,21.0,22.75,21.0,18.75,7.5,18.5,6.75,10.5,Counter-attacks,19,0,4-4-2,4,4,2,2,-10,15,ZQQEHHUUEQQQEQ,00000044044None,H,Rom̢nia,14.5,16.75,16.25,15.75,14.75,17.25,13.75,10.5,12.5,Normal,0,0,3-5-2,3,5,2,1,1,13,UQEQEHUTUHUUWE,,A,Rom,2024-07-19,CA,CC,8.206313896508895,442ca
67,2024-07-12 20:00:00+02:00,88,Europe Cup,10.0299,12.4499,11.4539,12.6989,Lietuva,10.25,22.25,24.75,22.25,12.5,11.5,12.75,7.25,11.0,Counter-attacks,19,0,4-4-2,4,4,2,3,-10,16,ZUQEHHUHEUQQEQ,,A,Shqiperia,17.5,9.75,11.5,11.75,12.5,20.0,17.5,9.25,11.0,Normal,0,0,2-5-3,2,5,3,1,10,14,ZEHEEHQHQUUUPQ,01030013000None,H,Shq,2024-07-12,CA,CC,10.029935976620466,442ca
68,2024-07-05 20:00:00+02:00,88,Europe Cup,11.4233,15.3146,16.3356,15.0594,Lietuva,17.75,14.5,14.25,15.0,15.0,16.0,14.75,8.5,11.25,Normal,0,0,3-5-2,3,5,2,3,10,16,ZUEUEHUTHUQQEQ,00103100300None,H,Ireland,15.0,17.5,19.0,17.25,12.5,13.75,11.75,8.25,10.75,Normal,0,0,3-5-2,3,5,2,1,-10,15,UQEUEUQUQQUQEW,,A,Ire,2024-07-05,N,CC,11.423260686318654,AoA
69,2024-06-28 20:00:00+02:00,88,Europe Cup,8.6135,18.5628,7.2746,18.8136,Lietuva,9.25,21.0,22.75,21.5,18.5,7.25,18.75,8.0,11.25,Counter-attacks,19,0,4-4-2,4,4,2,2,-10,12,ZUUEQHUUEQQQEU,,A,Portugal,15.75,18.0,18.5,18.5,13.5,14.5,14.0,8.5,11.75,Normal,0,0,3-5-2,3,5,2,4,0,13,ZHEHEHQUHHHEQP,00003000300None,H,Por,2024-06-28,CA,CC,8.613453788227474,442ca
70,2024-06-24 20:00:00+02:00,88,Europe Cup,11.147,15.3316,16.8397,16.8397,Lietuva,17.75,15.5,14.5,13.75,15.25,16.75,16.75,8.5,11.0,Normal,0,0,3-5-2,3,5,2,2,10,15,ZQEUEHUHUTQEQP,00003001300None,H,Osterreich,9.5,22.0,23.75,21.5,18.0,8.5,17.25,9.0,12.0,Counter-attacks,19,0,4-4-2,4,4,2,2,-10,11,ZQUEUQHHEUQQEU,,A,Ost,2024-06-24,N,CC,11.147024388480157,AoA
71,2024-06-21 20:00:00+02:00,88,Europe Cup,13.4954,12.6345,11.1481,12.6345,Lietuva,14.0,19.0,19.0,19.5,12.75,11.25,12.75,7.75,11.25,Normal,0,0,3-5-2,3,5,2,1,-10,14,ZQEUEHUHUHQETW,,A,Rom̢nia,12.75,16.75,17.0,17.5,15.25,18.5,17.0,11.0,12.5,Normal,0,0,3-4-3,3,4,3,2,4,14,UHEQETUETUQQPU,00003000000None,H,Rom,2024-06-21,N,CC,13.495352190324336,AoD
72,2024-06-17 20:00:00+02:00,88,Europe Cup,10.7837,14.3035,20.1781,19.1564,Lietuva,12.25,12.5,14.0,14.5,14.0,19.75,18.75,9.25,10.5,Normal,0,0,2-5-3,2,5,3,2,10,14,ZEUEEHUHUTQQQP,00030010000None,H,Shqiperia,13.75,16.0,16.25,15.25,13.5,14.75,12.0,8.75,11.25,Normal,0,0,3-5-2,3,5,2,0,0,12,ZHEHEUUUTHQUEW,,A,Shq,2024-06-17,N,CC,10.783669160167207,AoA
73,2024-06-14 20:00:00+02:00,88,Europe Cup,9.3572,13.4249,11.9333,13.4249,Lietuva,8.0,21.5,23.25,21.5,13.5,12.0,13.5,8.5,11.25,Counter-attacks,19,0,4-4-2,4,4,2,1,-10,14,ZUUEQHUUEHQQEQ,,A,Ireland,12.25,15.75,15.25,16.25,13.75,14.75,14.0,8.5,11.0,Normal,0,0,3-5-2,3,5,2,3,4,15,ZZEUEUQQHUQEQP,00103001300None,H,Ire,2024-06-14,CA,CC,9.357186000885028,442ca
