,Match Datetime,Match Type,Team name,scaled midfield,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Midfielder_number,Forward_number,Mid_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Midfielder_number_,Forward_number_,Mid_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
22,2024-09-06 20:00:00,Match 4 in round I of World Cup,Al Urdun,16.479689939329077,13.61725158036754,15.48628611100622,13.083241714470773,16.25,17.0,16.0,16.75,12.75,14.5,12.25,11.5,8.25,(no tactic),0,16.25,0,1.6,3,3,,2,5.0,H,México,14.25,18.75,18.0,18.75,13.0,13.75,13.25,11.25,7.75,(no tactic),0,13.0,-50,1.4,2,3,,2,5.0,A,WC1,Méx,2024-09-06,3-5.0-2,3-5.0-2,N,88,16.479689939329077
23,2024-08-30 20:00:00,Match 3 in round I of World Cup,Al Urdun,6.293271559093608,8.181838465458576,7.926156013412995,19.43186635546412,5.0,27.0,26.75,26.25,8.0,7.75,19.0,12.0,6.75,Counter-attacks,21,13.75,-100,1.2,0,5,,2,3.0,A,Danmark,13.25,12.75,10.75,13.5,17.75,20.25,18.0,11.0,9.75,Play creatively,25,16.25,100,3.0,4,2,,3,5.0,H,WC1,Dan,2024-08-30,5-3.0-2,2-5.0-3,CA,88,6.293271559093608
24,2024-08-26 20:00:00,Match 2 in round I of World Cup,Al Urdun,13.218390804597702,14.126603002858408,16.695076276105393,13.356061020884313,11.5,16.5,15.25,17.25,13.75,16.25,13.0,11.25,8.0,(no tactic),0,15.5,0,1.6,2,3,,2,5.0,H,Bénin,11.0,18.0,18.25,18.0,12.75,14.25,13.0,12.25,9.0,(no tactic),0,14.5,-20,1.9,2,3,,2,5.0,A,WC1,Bén,2024-08-26,3-5.0-2,3-5.0-2,N,88,13.218390804597702
25,2024-08-23 20:00:00,Match 1 in round I of World Cup,Al Urdun,8.017977986234563,15.75,7.5,19.0,5.25,22.5,21.0,23.5,15.75,7.5,19.0,11.5,7.25,Counter-attacks,21,14.25,-10,1.0,1,5,,2,3.0,A,Cabo Verde,11.25,17.0,15.75,17.75,12.5,14.75,14.5,13.0,10.0,(no tactic),0,18.5,0,2.0,3,3,,2,5.0,H,WC1,Cab,2024-08-23,5-3.0-2,3-5.0-2,CA,88,8.017977986234563
26,2024-08-16 20:00:00,Friendly match,Al Urdun,,,,,8.0,18.25,19.75,21.0,8.0,7.25,10.0,10.75,7.75,Pressing,11,10.5,0,1.0,2,4,,1,5.0,A,Cyprus,6.0,14.25,19.25,11.25,7.75,10.25,7.75,9.25,8.5,Pressing,10,7.5,0,0.4,0,3,,3,4.0,H,F,Cyp,2024-08-16,4-5.0-1,3-4.0-3,Pr,88,
27,2024-08-09 20:00:00,Friendly match,Al Urdun,,,,,4.75,19.25,16.25,18.25,15.25,9.0,14.75,11.25,8.25,Counter-attacks,15,10.0,0,2.1,0,4,,2,4.0,A,Cymru,6.75,14.5,14.0,13.25,13.0,10.25,11.5,10.75,7.75,Play creatively,20,9.5,80,1.5,2,3,,3,4.0,H,F,Cym,2024-08-09,4-4.0-2,3-4.0-3,CA,88,
28,2024-08-02 12:00:00,Round 10 in Asia and Oceania Cup,Al Urdun,14.534707783899862,18.18973995509475,19.95818689517341,9.600140531855564,14.0,10.75,11.75,10.75,18.0,19.75,9.5,10.5,9.25,(no tactic),0,12.75,60,1.1,0,2,,3,5.0,A,Sri Lanka,12.75,22.0,24.75,20.25,8.25,7.25,8.5,13.25,9.25,Pressing,13,16.5,-100,0.6,0,4,,1,5.0,H,CC,Sri,2024-08-02,2-5.0-3,4-5.0-1,N,88,14.534707783899862
29,2024-07-26 12:00:00,Round 9 in Asia and Oceania Cup,Al Urdun,14.63350839377767,11.82769857315033,19.06914667916074,18.103620265026017,15.75,14.0,14.0,15.25,12.25,19.75,18.75,11.25,9.5,(no tactic),0,14.75,0,1.6,1,2,,3,5.0,H,Al Kuwayt,17.75,20.5,22.0,16.0,14.25,9.5,8.5,12.25,9.5,(no tactic),0,15.0,-100,1.9,4,3,,2,5.0,A,CC,Al ,2024-07-26,2-5.0-3,3-5.0-2,N,88,14.63350839377767
30,2024-07-19 12:00:00,Round 8 in Asia and Oceania Cup,Al Urdun,9.562762073500698,15.285954681935012,9.076035592398915,15.047111640029778,7.0,20.75,22.25,21.25,16.0,9.5,15.75,11.75,7.75,Counter-attacks,22,13.75,0,1.3,1,5,,2,3.0,A,Kyrgyz Republic,17.0,15.5,15.25,16.0,13.0,14.0,10.5,10.75,7.75,(no tactic),0,14.25,0,1.5,1,3,,2,5.0,H,CC,Kyr,2024-07-19,5-3.0-2,3-5.0-2,CA,88,9.562762073500698
31,2024-07-12 12:00:00,Round 7 in Asia and Oceania Cup,Al Urdun,7.645351703722899,15.792642326048867,8.721309941250865,15.085509087569067,6.75,21.5,20.25,21.5,16.75,9.25,16.0,11.75,8.0,Counter-attacks,20,13.75,0,0.9,1,5,,2,3.0,A,Azerbaycan,15.25,16.75,16.25,17.0,16.25,17.0,15.75,11.25,9.0,(no tactic),0,16.0,10,2.5,1,3,,2,5.0,H,CC,Aze,2024-07-12,5-3.0-2,3-5.0-2,CA,88,7.645351703722899
32,2024-07-05 12:00:00,Round 6 in Asia and Oceania Cup,Al Urdun,15.128693709917874,10.494195340813528,15.264284132092403,14.071761934272683,17.0,16.0,17.0,17.25,11.0,16.0,14.75,11.5,9.0,(no tactic),0,15.75,0,2.7,4,3,,2,5.0,H,Lubnan,16.25,14.75,15.0,13.75,13.25,15.75,13.0,10.25,8.5,(no tactic),0,17.0,0,1.8,2,3,,2,5.0,A,CC,Lub,2024-07-05,3-5.0-2,3-5.0-2,N,88,15.128693709917874
33,2024-06-28 12:00:00,Round 5 in Asia and Oceania Cup,Al Urdun,11.318900992699861,13.647237513952065,17.17669549169829,13.647237513952065,13.75,16.0,14.0,16.25,14.5,18.25,14.5,11.5,8.75,(no tactic),0,13.5,0,3.6,4,3,,2,5.0,H,Sri Lanka,14.5,9.25,13.5,10.5,11.75,15.0,11.5,11.5,9.5,Attack in the Middle,26,16.5,100,3.0,4,2,,3,5.0,A,CC,Sri,2024-06-28,3-5.0-2,2-5.0-3,N,88,11.318900992699861
34,2024-06-24 12:00:00,Round 4 in Asia and Oceania Cup,Al Urdun,18.15148149980465,13.687057218123671,17.529038191632072,7.924085757861073,15.5,15.25,14.75,15.75,14.25,18.25,8.25,12.0,10.0,(no tactic),0,14.25,0,3.1,3,2,,3,5.0,A,Al Kuwayt,14.75,9.75,12.5,13.5,11.5,16.5,20.75,11.25,10.0,(no tactic),0,14.0,100,2.5,1,2,,3,5.0,H,CC,Al ,2024-06-24,2-5.0-3,2-5.0-3,N,88,18.15148149980465
35,2024-06-21 12:00:00,Round 3 in Asia and Oceania Cup,Al Urdun,13.64770464555048,14.249083948087655,18.179865726870453,11.792345336348403,13.0,15.0,13.5,13.75,14.5,18.5,12.0,11.75,10.0,(no tactic),0,15.5,0,1.8,3,2,,3,5.0,H,Kyrgyz Republic,9.25,21.25,22.5,21.5,13.25,9.25,13.25,11.25,8.25,Counter-attacks,19,15.0,-100,1.6,1,4,,2,4.0,A,CC,Kyr,2024-06-21,2-5.0-3,4-4.0-2,N,88,13.64770464555048
36,2024-06-17 12:00:00,Round 2 in Asia and Oceania Cup,Al Urdun,13.505747126436782,13.225750911835972,15.4300427304753,12.735908285471677,11.75,16.25,14.75,16.5,13.5,15.75,13.0,12.25,9.5,(no tactic),0,14.75,0,1.5,1,3,,2,5.0,H,Azerbaycan,9.0,20.75,22.25,20.0,14.0,13.25,13.75,12.0,8.5,Counter-attacks,18,16.25,-90,1.4,1,4,,2,4.0,A,CC,Aze,2024-06-17,3-5.0-2,4-4.0-2,N,88,13.505747126436782
37,2024-06-14 12:00:00,Round 1 in Asia and Oceania Cup,Al Urdun,8.78159493730452,6.75,8.75,19.25,5.75,24.25,22.75,23.5,6.75,8.75,19.25,11.75,8.0,Counter-attacks,21,13.5,-100,1.1,1,5,,2,3.0,A,Lubnan,11.75,14.25,15.5,16.25,12.25,14.75,12.75,11.0,8.5,(no tactic),0,12.25,0,1.2,0,3,,2,5.0,H,CC,Lub,2024-06-14,5-3.0-2,3-5.0-2,CA,88,8.78159493730452
38,2024-06-07 20:00:00,Friendly match,Al Urdun,,,,,6.75,13.75,12.25,13.75,13.0,13.25,12.75,9.5,7.25,(no tactic),0,7.5,0,0.8,2,2,,3,5.0,A,Suomi,7.75,17.25,18.0,18.0,17.0,16.5,15.75,10.5,7.75,(no tactic),0,9.75,0,4.0,4,3,,3,4.0,H,F,Suo,2024-06-07,2-5.0-3,3-4.0-3,N,88,
39,2024-05-31 20:00:00,Friendly match,Al Urdun,,,,,8.75,18.0,20.75,16.5,5.0,7.25,9.0,10.25,6.5,(no tactic),0,8.75,-100,0.3,0,4,,2,4.0,A,Singapore,10.75,16.75,17.25,17.5,13.25,12.75,12.75,11.0,9.25,(no tactic),0,13.0,0,2.0,2,3,,2,5.0,H,F,Sin,2024-05-31,4-4.0-2,3-5.0-2,N,88,
40,2024-05-24 20:00:00,Friendly match,Al Urdun,,,,,8.25,19.0,21.25,16.75,6.0,10.0,10.0,9.5,6.75,(no tactic),0,7.25,-100,0.5,0,4,,2,4.0,A,Crna Gora,8.25,19.75,21.75,19.5,15.5,8.5,5.0,10.0,6.5,Counter-attacks,18,8.0,-50,0.8,1,4,,2,4.0,H,F,Crn,2024-05-24,4-4.0-2,4-4.0-2,N,86,
41,2024-05-17 20:00:00,Friendly match,Al Urdun,,,,,7.75,19.0,20.75,16.0,6.0,6.75,8.5,9.5,6.75,(no tactic),0,7.5,-100,0.4,1,4,,1,5.0,A,Venezuela,7.75,14.5,15.0,18.5,5.25,5.0,5.5,11.75,10.0,Pressing,11,11.5,-100,0.4,0,3,,2,5.0,H,F,Ven,2024-05-17,4-5.0-1,3-5.0-2,N,86,
42,2024-05-10 20:00:00,Friendly match,Al Urdun,,,,,5.5,18.0,20.0,15.75,6.0,10.25,10.75,9.5,7.0,(no tactic),0,7.0,-100,0.8,0,4,,2,4.0,H,Pilipinas,4.75,17.5,18.0,18.75,7.25,4.0,7.5,11.75,8.25,Counter-attacks,19,15.75,-90,0.6,2,5,,2,3.0,A,F,Pil,2024-05-10,4-4.0-2,5-3.0-2,N,86,
43,2024-05-03 20:00:00,Friendly match,Al Urdun,,,,,7.75,17.75,15.5,17.0,6.75,10.5,9.0,10.75,8.75,(no tactic),0,9.75,-100,0.8,0,3,,2,5.0,H,Hong Kong,5.75,19.25,19.0,19.75,19.25,7.0,15.5,12.0,9.25,Counter-attacks,19,9.75,0,1.6,1,5,,2,3.0,A,F,Hon,2024-05-03,3-5.0-2,5-3.0-2,N,86,
44,2024-04-26 20:00:00,Friendly match,Al Urdun,,,,,7.75,16.5,13.5,15.75,7.25,11.0,7.75,10.75,8.75,(no tactic),0,9.75,-100,1.0,2,2,,3,5.0,H,São Tomé e Príncipe,9.75,15.5,17.25,14.75,10.25,14.0,9.0,9.75,7.75,Play creatively,21,8.75,-100,2.9,4,3,,3,4.0,A,F,São,2024-04-26,2-5.0-3,3-4.0-3,N,86,
45,2024-04-19 20:00:00,Friendly match,Al Urdun,,,,,7.75,18.75,22.25,17.5,6.0,10.5,6.25,10.75,8.75,(no tactic),0,9.5,-100,0.8,1,5,,2,3.0,A,Paraguay,9.75,15.5,16.25,15.75,9.75,11.75,12.75,11.75,9.5,Play creatively,21,13.5,-30,1.6,1,2,,3,5.0,H,F,Par,2024-04-19,5-3.0-2,2-5.0-3,N,86,
46,2024-04-12 20:00:00,Friendly match,Al Urdun,,,,,7.0,18.5,22.75,17.5,6.0,10.75,6.5,10.75,8.75,(no tactic),0,9.5,-100,0.3,0,5,,2,3.0,A,Paraguay,9.0,23.0,20.75,18.0,7.5,9.25,8.0,11.25,8.5,Pressing,13,13.75,-70,0.4,0,4,,1,5.0,H,F,Par,2024-04-12,5-3.0-2,4-5.0-1,N,86,
47,2024-04-05 20:00:00,Friendly match,Al Urdun,,,,,4.25,17.5,22.25,17.0,5.5,10.5,6.25,10.5,8.5,(no tactic),0,9.5,-100,0.4,0,5,,2,3.0,A,Paraguay,8.25,14.0,14.5,15.0,10.75,14.5,13.25,10.5,8.0,(no tactic),0,12.25,0,1.8,1,3,,3,4.0,H,F,Par,2024-04-05,5-3.0-2,3-4.0-3,N,86,
48,2024-03-29 20:00:00,Friendly match,Al Urdun,,,,,5.75,10.75,12.0,7.0,5.25,4.5,8.25,7.0,7.25,(no tactic),0,8.0,-100,0.5,2,5,,2,3.0,A,Hong Kong,7.25,17.75,16.5,12.75,7.5,7.0,7.5,11.0,8.0,Play creatively,18,9.25,-100,3.2,4,4,,2,4.0,H,F,Hon,2024-03-29,5-3.0-2,4-4.0-2,N,86,
49,2024-03-22 20:00:00,Friendly match,Al Urdun,,,,,7.0,6.0,12.5,12.5,6.25,3.75,4.0,7.75,7.25,(no tactic),0,9.25,-100,0.2,0,5,,1,4.0,A,Rossiya,9.0,22.0,22.25,20.5,8.5,7.0,8.75,9.5,5.5,(no tactic),0,9.75,-100,3.3,4,4,,1,5.0,H,F,Ros,2024-03-22,5-4.0-1,4-5.0-1,N,86,
