,Match Datetime,Match Type,Team name,scaled midfield,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Defender_number,Mid_number,Forward_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Defender_number_,Mid_number_,Forward_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,scaled_midfield
10,2023-10-13 20:00:00,Friendly match,Slovensko,,8.75,21.75,26.5,22.0,9.75,7.25,10.5,12.25,7.5,Counter-attacks,23,11.75,-100,1.2,5,4,1,A,Scotland,8.5,16.5,16.5,14.5,13.5,12.0,13.0,9.25,6.5,(no tactic),0,8.5,0,0.6,4,4,2,H,F,Sco,2023-10-13,5-4-1,4-4-2,CA,
11,2023-10-06 20:00:00,Friendly match,Slovensko,,9.75,16.75,16.75,17.75,14.25,14.0,15.25,11.5,8.25,(no tactic),0,12.25,0,2.4,3,4,3,A,Jamaica,9.0,14.25,15.25,20.0,5.5,3.25,8.5,10.0,7.25,Counter-attacks,20,11.5,-100,0.2,5,4,1,H,F,Jam,2023-10-06,3-4-3,5-4-1,N,
12,2023-09-29 20:00:00,Friendly match,Slovensko,,9.75,16.75,16.25,17.0,15.5,15.0,16.25,11.5,8.5,(no tactic),0,12.25,0,3.0,3,4,3,H,Al Iraq,10.25,11.75,15.5,9.5,9.5,13.0,5.25,8.5,7.75,(no tactic),0,10.75,-50,1.4,4,4,2,A,F,Al ,2023-09-29,3-4-3,4-4-2,N,
13,2023-09-22 20:00:00,Match 3 in round IV of World Cup,Slovensko,14.463528653254127,13.75,15.5,11.0,6.5,19.25,21.75,14.0,12.75,11.25,Play creatively,25,19.0,100,2.8,2,5,3,N,MoÃ§ambique,8.25,22.5,21.5,22.75,8.5,6.0,16.75,13.5,9.75,Counter-attacks,22,26.0,-100,1.9,5,4,1,H,WC4,MoÃ§,2023-09-22,2-5-3,5-4-1,PC,14.463528653254127
14,2023-09-18 20:00:00,Match 2 in round IV of World Cup,Slovensko,15.466574649829012,15.25,16.25,17.75,19.5,12.75,16.0,14.0,13.0,11.0,(no tactic),0,18.25,-100,1.7,3,5,2,N,Schweiz,14.25,17.25,17.0,17.25,14.5,13.0,14.0,12.75,10.25,(no tactic),0,15.75,100,1.6,3,5,2,A,WC4,Sch,2023-09-18,3-5-2,3-5-2,N,15.466574649829012
15,2023-09-15 20:00:00,Match 1 in round IV of World Cup,Slovensko,14.329785784666965,11.25,13.0,14.0,15.25,14.5,18.0,17.5,13.25,11.0,Play creatively,25,18.25,100,2.5,2,5,3,N,Bolivia,13.0,17.25,17.25,16.75,14.0,14.0,13.25,12.0,9.5,(no tactic),0,13.75,0,3.3,3,5,2,H,WC4,Bol,2023-09-15,2-5-3,3-5-2,PC,14.329785784666965
16,2023-09-08 20:00:00,Match 3 in round III of World Cup,Slovensko,11.128539533192267,8.25,24.5,25.0,25.0,10.25,12.25,15.0,13.5,9.75,Counter-attacks,24,18.25,-100,1.2,5,3,2,N,MoÃ§ambique,15.5,14.5,14.75,16.25,15.0,13.25,17.25,11.75,9.75,(no tactic),0,27.25,70,1.7,3,5,2,H,WC3,MoÃ§,2023-09-08,5-3-2,3-5-2,CA,11.128539533192267
17,2023-09-04 20:00:00,Match 2 in round III of World Cup,Slovensko,13.255377264054172,9.0,22.25,24.25,23.0,12.25,12.5,14.0,13.5,10.25,Counter-attacks,19,18.5,-100,2.3,4,4,2,N,Ã–sterreich,12.75,19.25,11.75,7.0,20.75,22.0,14.75,11.5,10.75,(no tactic),0,13.0,100,2.5,2,5,3,A,WC3,Ã–st,2023-09-04,4-4-2,2-5-3,CA,13.255377264054172
18,2023-09-01 20:00:00,Match 1 in round III of World Cup,Slovensko,9.420173085389935,5.75,24.5,24.75,25.75,16.75,8.25,10.75,13.25,9.5,Counter-attacks,23,15.25,-100,1.1,5,3,2,N,ÄŒeskÃ¡ republika,8.25,21.0,23.5,22.25,19.0,7.5,18.0,13.5,11.25,Counter-attacks,18,13.0,-100,1.4,4,4,2,H,WC3,ÄŒes,2023-09-01,5-3-2,4-4-2,CA,9.420173085389935
19,2023-08-25 20:00:00,Match 6 in round II of World Cup,Slovensko,17.35018305330456,16.75,14.75,13.25,15.25,15.75,17.75,16.75,13.5,10.75,Play creatively,24,18.5,60,2.1,3,5,2,A,Costa Rica,17.75,21.0,19.5,16.75,13.0,13.25,11.5,13.0,9.5,(no tactic),0,16.0,-100,2.0,3,5,2,H,WC2,Cos,2023-08-25,3-5-2,3-5-2,PC,17.35018305330456
