,Match Datetime,Match Type,Team name,scaled midfield,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
28,2024-08-02 12:00:00,Round 10 in Asia and Oceania Cup,Bahrain,10.0544679656676,10.8616445213582,12.0684939126202,12.3098637908726,11,20.75,23.75,21.5,11.25,12.5,12.75,10.25,7.75,Counter-attacks,19,10.75,-100,1.3,2,4,4,2,A,Pilipinas,16.5,15.75,17.25,18.75,16.75,11,11.25,12.25,8.75,(no tactic),0,11,20,1.8,3,3,5,2,H,CC,Pil,2024-08-02,4-4-2,3-5-2,CA,88,10.0544679656676
29,2024-07-26 12:00:00,Round 9 in Asia and Oceania Cup,Bahrain,11.5612902599082,10.6634400440512,12.4406800513931,12.4406800513931,14.25,17.5,18,18.25,10.5,12.25,12.25,10.5,8,(no tactic),0,11.25,0,1.5,5,3,5,2,H,Mongol Uls,15.75,15.5,14.25,13.5,14.25,17.5,13,11.25,9.5,(no tactic),0,12.75,50,2.3,0,3,5,2,A,CC,Mon,2024-07-26,3-5-2,3-5-2,N,88,11.5612902599082
30,2024-07-19 12:00:00,Round 8 in Asia and Oceania Cup,Bahrain,8.77933207675438,10.1869379328153,9.92573439607641,10.709345006293,9,23.25,24,24.75,9.75,9.5,10.25,10.5,7.25,Counter-attacks,17,11,-100,1.8,3,4,4,2,H,Brunei,12.25,13.25,10,12,15.75,18.75,18,10.25,8.75,(no tactic),0,12.25,100,2.1,1,2,5,3,A,CC,Bru,2024-07-19,4-4-2,2-5-3,CA,88,8.77933207675438
31,2024-07-12 12:00:00,Round 7 in Asia and Oceania Cup,Bahrain,9.32075665900034,11.8666090977342,11.0926998087515,15.2202160166591,9.75,21,20.5,21,11.5,10.75,14.75,11,7.25,Counter-attacks,16,13.75,-100,1.3,1,4,4,2,A,Hayastan,13.75,13.5,13,13.25,16.5,19.25,14,11.25,9.75,(no tactic),0,17.5,100,2.3,3,3,4,3,H,CC,Hay,2024-07-12,4-4-2,3-4-3,CA,88,9.32075665900034
32,2024-07-05 12:00:00,Round 6 in Asia and Oceania Cup,Bahrain,13.0778265040861,13.2733453557397,15.2768691830211,13.0229048773295,14,16.5,16.25,15.25,13.25,15.25,13,10.25,7,(no tactic),0,12.5,0,1.1,0,3,5,2,H,Việt Nam,7.75,24.25,27.5,24.25,10.5,8.75,10,12.25,8.5,Counter-attacks,21,13.75,-100,0.8,2,5,3,2,A,CC,Việ,2024-07-05,3-5-2,5-3-2,N,88,13.0778265040861
33,2024-06-28 12:00:00,Round 5 in Asia and Oceania Cup,Bahrain,12.7798207897981,13.5277531664118,14.5298089565164,14.0287810614641,17,17,16,16,13.5,14.5,14,10.5,7.25,(no tactic),0,16,0,1.3,2,3,5,2,H,Pilipinas,7.5,23.5,26,21.25,17.5,7.75,11.75,12.75,9,Counter-attacks,21,16.75,-100,1,2,5,3,2,A,CC,Pil,2024-06-28,3-5-2,5-3-2,N,88,12.7798207897981
34,2024-06-24 12:00:00,Round 4 in Asia and Oceania Cup,Bahrain,10.9617154448307,12.0273346984238,11.2756262797724,11.0250568068885,10.25,21.5,21.5,22,12,11.25,11,10.5,7,Counter-attacks,19,14,-100,1.1,0,4,4,2,A,Mongol Uls,14.5,17,15.5,16.25,13.25,13.25,13,11,8.75,(no tactic),0,12.5,20,1.4,0,3,5,2,H,CC,Mon,2024-06-24,4-4-2,3-5-2,CA,88,10.9617154448307
35,2024-06-21 12:00:00,Round 3 in Asia and Oceania Cup,Bahrain,10.632183908046,11.9391415898333,11.4200484772318,11.4200484772318,9.25,22.25,21.25,22.5,11.5,11,11,10.75,7.5,Counter-attacks,19,15,-100,2,4,4,4,2,A,Brunei,16,11,11,9,19.25,19.5,12,10.25,8.5,Play creatively,23,14.75,100,3.1,1,2,5,3,H,CC,Bru,2024-06-21,4-4-2,2-5-3,CA,88,10.632183908046
36,2024-06-17 12:00:00,Round 2 in Asia and Oceania Cup,Bahrain,11.546429600957,14.4642875009061,18.2706789485129,12.180452632342,11,14.75,16.5,15,14.25,18,12,10.75,8.5,(no tactic),0,15.75,-10,1.7,1,3,4,3,H,Hayastan,12.5,17.25,17,17,13.5,12.25,12,11.75,9,(no tactic),0,19,20,2,3,3,5,2,A,CC,Hay,2024-06-17,3-4-3,3-5-2,N,88,11.546429600957
37,2024-06-14 12:00:00,Round 1 in Asia and Oceania Cup,Bahrain,11.5062494247528,12.5136158715564,11.762798919263,11.5125266018319,8.25,21.25,20.5,21,12.5,11.75,11.5,10.75,7.25,Counter-attacks,19,14.5,-100,2.1,1,4,4,2,A,Việt Nam,10.75,12.25,13.75,15.5,10.5,14.75,15.75,11,9.25,(no tactic),0,14,0,1.7,2,2,5,3,H,CC,Việ,2024-06-14,4-4-2,2-5-3,CA,88,11.5062494247528
38,2024-06-07 20:00:00,Friendly match,Bahrain,,,,,6.75,11.75,13.25,14.25,12.75,12.25,11.75,8.75,6.5,(no tactic),0,7,0,0.9,2,3,5,2,A,Kazakhstan,7.75,21.25,17.25,16.75,13.25,9.75,13.5,9.5,6.75,Counter-attacks,14,8.25,0,2.3,2,4,4,2,H,F,Kaz,2024-06-07,3-5-2,4-4-2,N,88,
39,2024-05-31 20:00:00,Friendly match,Bahrain,,,,,7.5,19.25,18.75,13.5,12.5,9,10.75,11,7.5,(no tactic),0,15.75,-10,1.3,3,4,4,2,H,Magyarország,8.25,10.25,13,15,10.75,15.25,13.5,9.75,8.25,(no tactic),0,10,0,2,2,2,5,3,A,F,Mag,2024-05-31,4-4-2,2-5-3,N,88,
40,2024-05-24 20:00:00,Friendly match,Bahrain,,,,,9.5,14.75,17.75,18.5,13,11.25,11.5,10.25,6.75,(no tactic),0,16,40,1.2,2,3,5,2,A,United Arab Emirates,8.75,19.25,20,18,12,9.5,12,10.5,7.25,(no tactic),0,9,0,1,2,5,3,2,H,F,Uni,2024-05-24,3-5-2,5-3-2,N,86,
41,2024-05-17 20:00:00,Friendly match,Bahrain,,,,,7.25,13.25,10.5,14.75,11.25,11,9.75,9.75,7.5,(no tactic),0,12.25,0,0.3,0,2,5,3,A,Bulgaria,6,20.75,24,22.5,9.75,7,9.25,11.75,7.75,Pressing,15,12.75,-100,0.7,1,5,4,1,H,F,Bul,2024-05-17,2-5-3,5-4-1,N,86,
42,2024-05-10 20:00:00,Friendly match,Bahrain,,,,,10.5,18.25,17.25,17.75,11.25,11.75,12.5,10.25,6.5,(no tactic),0,13,0,2.5,2,3,5,2,A,Island,7.25,17.75,18.5,10.5,12.25,12,10.5,9.25,6.5,(no tactic),0,7.75,0,0.6,0,3,5,2,H,F,Isl,2024-05-10,3-5-2,3-5-2,N,86,
43,2024-05-03 20:00:00,Friendly match,Bahrain,,,,,10.25,16.75,16.25,17,13,13,13,10,7,Counter-attacks,14,11.5,0,2.2,2,3,5,2,H,Ecuador,10,14,16.25,13,7.25,13,10.75,10.75,8.25,Play creatively,22,12.75,60,1.4,0,4,4,2,A,F,Ecu,2024-05-03,3-5-2,4-4-2,CA,86,
44,2024-04-26 20:00:00,Friendly match,Bahrain,,,,,10.5,17.25,16.75,17.5,13.25,13.25,13.75,10.5,7.5,(no tactic),0,15,0,2.5,6,3,5,2,H,Lietuva,10,15.25,14.75,15.75,17.5,18,17,9.5,6.75,(no tactic),0,12.75,100,2.2,3,3,4,3,A,F,Lie,2024-04-26,3-5-2,3-4-3,N,86,
45,2024-04-19 20:00:00,Friendly match,Bahrain,,,,,9.75,13.75,15.25,16,9.75,17,15.75,10,7.75,(no tactic),0,13.25,0,1.8,2,3,4,3,H,Nippon,8.25,20,20.25,19.25,13.25,12.25,6.5,11,8.75,Counter-attacks,16,11.5,-50,1.5,1,4,4,2,A,F,Nip,2024-04-19,3-4-3,4-4-2,N,86,
46,2024-04-12 20:00:00,Friendly match,Bahrain,,,,,9,16.5,15.75,16.5,15,16.5,15,10,7.75,(no tactic),0,13,0,2,2,3,4,3,H,Guatemala,9.25,17,17.25,18,10.25,12,10.5,10.5,7.75,(no tactic),0,9,0,1.4,0,3,5,2,A,F,Gua,2024-04-12,3-4-3,3-5-2,N,86,
47,2024-04-05 20:00:00,Friendly match,Bahrain,,,,,9.75,14,11,14,16.5,18.75,16.25,9.75,8,(no tactic),0,13.25,30,3.4,2,2,5,3,H,São Tomé e Príncipe,6.5,17.25,20.5,15.5,8,8.5,16,10.25,7.75,Play creatively,20,9.5,-100,1.4,4,5,3,2,A,F,São,2024-04-05,2-5-3,5-3-2,N,86,
48,2024-03-29 20:00:00,Friendly match,Bahrain,,,,,7.75,21,20,22,11,11,12.5,10.5,7.25,Counter-attacks,18,15.25,-100,1.9,3,4,4,2,A,Moldova,10,13.5,11.5,14.25,15.5,18,14.75,8.75,7.5,(no tactic),0,10,20,1.9,3,2,5,3,H,F,Mol,2024-03-29,4-4-2,2-5-3,CA,86,
49,2024-03-22 20:00:00,Friendly match,Bahrain,,,,,8.25,17.25,16.5,17.5,12.25,14.25,13.25,9.75,7.25,(no tactic),0,14.5,0,2,3,3,4,3,H,Hong Kong,8,13.5,18.25,15,6.5,7.75,9.75,11.5,8.5,Long shots,8,8.75,-100,0.6,1,3,5,2,A,F,Hon,2024-03-22,3-4-3,3-5-2,N,86,
50,2024-03-15 20:00:00,Friendly match,Bahrain,,,,,8.75,16.25,17,17,12.75,12.5,13,10,6.75,(no tactic),0,15.5,0,2.1,3,3,5,2,H,Paraguay,8.25,14.75,15.75,16.5,9.5,15.25,16.5,11,9,(no tactic),0,13,30,1.7,0,3,4,3,A,F,Par,2024-03-15,3-5-2,3-4-3,N,86,
51,2024-03-08 20:00:00,Match 10 in round I of World Cup,Bahrain,11.998669093504,12.8931160211038,19.4712364400343,21.576234974092,15.75,8.75,11,13,12.25,18.5,20.5,9.75,8.75,(no tactic),0,14.5,100,3,6,2,5,3,H,RD Congo,15.75,7.75,12.75,15.25,8.75,17.75,17.5,10.5,8.25,(no tactic),0,13.5,100,3.2,3,2,5,3,A,WC1,RD ,2024-03-08,2-5-3,2-5-3,N,86,11.998669093504
52,2024-03-01 20:00:00,Match 9 in round I of World Cup,Bahrain,9.47556807410561,6.78449059333265,10.176735889999,15.6565167538446,9.75,23,22.5,24.75,6.5,9.75,15,10.75,7.5,Counter-attacks,21,15.75,-100,0.6,1,5,3,2,A,Bolivia,14.5,18.25,19.25,18.25,13.25,14,13,12.5,10,(no tactic),0,16.5,-30,1.5,3,3,5,2,H,WC1,Bol,2024-03-01,5-3-2,3-5-2,CA,86,9.47556807410561
53,2024-02-23 20:00:00,Match 8 in round I of World Cup,Bahrain,10.7842562867493,13.3260189461292,11.4969575221507,11.4969575221507,9.25,21.75,20.75,20.75,12.75,11,11,10.5,7.5,Counter-attacks,18,16,-100,1.3,1,4,4,2,A,Chinese Taipei,16.5,13.5,11,13.5,16.25,20.25,16.75,10.5,8.75,(no tactic),0,15.25,100,3.1,2,2,5,3,H,WC1,Chi,2024-02-23,4-4-2,2-5-3,CA,86,10.7842562867493
54,2024-02-16 20:00:00,Match 7 in round I of World Cup,Bahrain,13.3086965854187,11.9436358018009,17.7827466382369,16.4556759935923,16.75,10,13,15,11.25,16.75,15.5,9.75,8,(no tactic),0,12.75,60,1.1,2,2,5,3,H,Deutschland,11,23.5,25.25,23.5,13.5,11.75,13,12,8,Counter-attacks,19,14.25,-100,2.2,2,4,4,2,A,WC1,Deu,2024-02-16,2-5-3,4-4-2,N,86,13.3086965854187
55,2024-02-09 20:00:00,Match 6 in round I of World Cup,Bahrain,9.68745794294174,6.93716629847059,11.5619438307843,14.3881967671983,8.75,23.5,23.25,23.5,6.75,11.25,14,11.25,8.5,Counter-attacks,22,15,-100,0.5,0,5,3,2,A,Turkiye,16.25,18.75,18.75,18.25,14.25,13,15.25,12,8,(no tactic),0,16.25,30,1.9,3,3,5,2,H,WC1,Tur,2024-02-09,5-3-2,3-5-2,CA,86,9.68745794294174
56,2024-02-02 20:00:00,Match 5 in round I of World Cup,Bahrain,10.5504254082171,12.7131638597706,11.4159022414267,11.6753545650955,9.25,22.25,21.5,22,12.25,11,11.25,10.5,8.25,Counter-attacks,18,14.75,-100,0.7,1,4,4,2,A,RD Congo,15.75,17.5,19,18.75,14.25,9.5,5.75,11.5,7.75,(no tactic),0,14,0,1.4,1,3,5,2,H,WC1,RD ,2024-02-02,4-4-2,3-5-2,CA,86,10.5504254082171
57,2024-01-26 20:00:00,Match 4 in round I of World Cup,Bahrain,9.62515759278141,11.6001832740995,11.3304115700507,12.1397266821972,9.5,23,22.25,22.75,10.75,10.5,11.25,10.75,8,Counter-attacks,18,14.5,-100,0.5,2,4,4,2,H,Bolivia,9.25,22.75,21.75,23,13.75,12.75,13,12.75,10.5,Counter-attacks,16,15,-100,1.3,0,4,4,2,A,WC1,Bol,2024-01-26,4-4-2,4-4-2,CA,86,9.62515759278141
