,Match Datetime,campaign,Competition,scaled midfield,sc_ra,sc_ca,sc_la,Team name,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,Opponent,Match Date,Tactic short,Match Type,scaled_midfield,T_C,Indiv Order
20,2025-05-02 20:00:00,90,World Cup,16.5456,14.4105,13.9049,15.4218,Schweiz,12.75,17.5,17.5,17.75,14.25,13.75,15.25,8.5,11.5,Normal,0,0,3-5-2,3,5,2,2,3,13,UUEQEUHUHUQEUP,100,H,Nicaragua,15.0,10.25,14.25,16.25,8.75,19.75,16.75,10.75,11.0,Normal,0,0,2-5-3,2,5,3,0,3,13,ZEEHEQQQHQUQUQ,30010000,A,Nic,2025-05-02,N,WC1,16.54560357159672,bal,NN-N-NNNNNO-NN
21,2025-04-25 20:00:00,90,World Cup,15.1647,16.2708,18.2733,14.0179,Schweiz,15.75,17.0,15.75,14.0,16.25,18.25,14.0,9.75,11.25,Normal,0,0,3-4-3,3,4,3,2,0,14,UUEQEUQHEHQUPU,0,H,Lietuva,10.5,24.5,27.0,23.75,12.5,11.5,12.0,9.5,12.25,Counter-attacks,19,0,4-4-2,4,4,2,3,-10,18,ZHUEUQQHEHQQQE,0,A,Lie,2025-04-25,N,WC1,15.164715704581912,343,NN-N-NNN-NNNNN
22,2025-04-18 20:00:00,90,World Cup,13.4138,14.106,13.3887,13.6278,Schweiz,10.0,21.25,20.75,22.25,14.75,14.0,14.25,9.25,12.0,Counter-attacks,17,0,4-4-2,4,4,2,0,-8,14,UUQEUQQHHEQEHU,40001000,A,Hong Kong,14.25,23.0,24.5,23.0,4.25,7.25,5.75,12.5,15.0,Long shots,16,0,4-5-1,4,5,1,2,-10,14,ZUPETPQTHTPEPE,2102300030,H,Hon,2025-04-18,CA,WC1,13.413781588939466,442ca,NNN-WNNNO-N-NN
23,2025-04-11 20:00:00,90,World Cup,14.9779,15.7388,19.3708,17.6758,Schweiz,13.75,14.25,13.5,15.75,16.25,20.0,18.25,10.0,11.25,Normal,0,0,2-5-3,2,5,3,5,3,14,UUEEEUQUHHQPQU,0,H,Comoros,14.5,10.5,12.0,12.25,20.25,20.0,17.75,9.25,11.0,Normal,0,0,2-5-3,2,5,3,3,10,13,ZEUEEQUQHQQUHU,1134113400,A,Com,2025-04-11,N,WC1,14.97789348445447,bal,NN---NNNNNNNNN
24,2025-04-07 20:00:00,90,World Cup,11.8233,16.6623,17.6425,16.6623,Schweiz,11.0,17.5,17.0,17.75,17.0,18.0,17.0,9.75,11.5,Normal,0,0,3-4-3,3,4,3,2,3,14,UQEQEUQUEHQPUH,0,H,Myanmar,12.0,19.5,21.75,18.75,9.25,11.25,10.75,8.0,11.0,Normal,0,0,3-5-2,3,5,2,1,-10,11,ZTSEETHHpQQQWE,3123020300,A,Mya,2025-04-07,N,WC1,11.823263835511122,343,NN-N-NNN-NNNNN
25,2025-04-04 20:00:00,90,World Cup,15.3525,13.8655,14.6083,13.6179,Schweiz,10.75,18.75,18.25,18.75,14.0,14.75,13.75,9.0,11.75,Normal,0,0,3-5-2,3,5,2,4,-2,13,UUEQEUHUHHQWUE,3000300,A,Nicaragua,9.25,16.75,17.5,17.0,15.25,16.5,10.5,9.0,11.25,Normal,0,0,3-4-3,3,4,3,3,2,11,ZHEHEQUHEpQQQU,23000,H,Nic,2025-04-04,N,WC1,15.35245979749851,bal,NN-N-NMNNNMNN-
26,2025-03-28 20:00:00,90,Friendly,,,,,Schweiz,10.25,13.5,10.75,13.0,18.0,20.5,17.75,8.75,10.25,Play creatively,23,0,2-5-3,2,5,3,4,10,11,ZQEEEQQQUHHUPU,0,H,Italia,6.25,16.25,16.25,17.25,14.75,13.75,14.75,8.25,11.0,Normal,0,0,3-5-2,3,5,2,1,0,10,ZHEHEQUHUQUEQW,0,A,Ita,2025-03-28,PC,F,,att,NN---NNNNNNNNN
27,2025-03-21 20:00:00,90,Friendly,,,,,Schweiz,9.0,12.25,9.5,12.75,19.5,23.0,18.75,8.75,10.25,Play creatively,23,0,2-5-3,2,5,3,4,10,11,ZQEEEQQQUHHUPU,1100000,H,Osterreich,9.0,13.0,10.75,12.75,19.25,21.5,19.25,9.75,11.0,Play creatively,22,0,2-5-3,2,5,3,3,10,11,ZQEEEQUQQUHQQQ,30003000,A,Ost,2025-03-21,PC,F,,AoA,NN---NNOONNNNN
28,2025-03-14 20:00:00,90,Europe Cup,18.8777,18.3619,18.872,17.8519,Schweiz,15.5,13.75,13.0,13.5,18.0,18.5,17.5,10.5,12.25,Play creatively,24,0,3-4-3,3,4,3,3,10,12,ZUEQEQUHEUHHPU,100000000,H,Malta,7.25,29.5,32.5,28.5,6.5,4.5,9.5,8.0,14.0,Counter-attacks,23,0,5-4-1,5,4,1,0,-10,15,ZHUUHUQQEQQEEQ,2004322224,A,Mal,2025-03-14,PC,CC,18.87769213394765,343,NN-O-NNN-NNNNN
29,2025-03-07 20:00:00,90,Europe Cup,16.8955,14.0803,13.8289,13.8289,Schweiz,12.0,20.0,21.75,19.75,14.0,13.75,13.75,9.75,12.75,Counter-attacks,17,0,4-4-2,4,4,2,4,-2,12,ZUHEQQHHEHUUWE,3402000000,A,Island,13.25,12.5,8.5,12.25,21.25,13.25,21.75,9.0,10.25,Attack in wings,22,0,2-5-3,2,5,3,6,10,13,ZQEEEPQHHQQQPH,1114141404,H,Isl,2025-03-07,CA,CC,16.895451006072324,442ca,NMW-NDNN-NNNN-
