,Match Datetime,Match Type,Team name,scaled midfield,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,Defender number,Midfielder number,Forward number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,Defender number_,Midfielder number_,Forward number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
20,2024-01-26 20:00:00,Match 4 in round I of World Cup,Argentina,13.181685583827615,12.449747880910934,12.195671393545403,16.006818704028344,11.25,22.75,25.5,23.0,12.25,12.0,15.75,11.75,7.75,Counter-attacks,19,15.5,-100,1.0,2,4.0,4.0,2.0,,,,A,Sri Lanka,11.25,21.75,24.5,21.5,11.25,12.5,12.0,12.0,8.75,Counter-attacks,18,12.75,-100,0.8,0,4.0,4.0,2.0,,,,H,WC1,Sri,2024-01-26,4.0-4.0-2.0,4.0-4.0-2.0,CA,86,13.181685583827615
21,2024-01-19 20:00:00,Match 3 in round I of World Cup,Argentina,15.019129704272673,14.851960799458551,23.020539239160755,20.79274511924197,14.75,10.75,13.0,14.0,15.0,23.25,21.0,10.75,8.75,(no tactic),0,14.75,100,3.5,2,2.0,5.0,3.0,,,,H,Liechtenstein,16.75,7.75,12.25,8.0,13.25,19.5,11.75,10.25,8.0,Attack in the Middle,23,12.75,100,3.7,3,2.0,5.0,3.0,,,,A,WC1,Lie,2024-01-19,2.0-5.0-3.0,2.0-5.0-3.0,N,86,15.019129704272673
22,2024-01-15 20:00:00,Match 2 in round I of World Cup,Argentina,16.867658276516018,16.488457840006983,19.62911647619879,12.562634544767228,12.75,15.0,14.0,11.25,15.75,18.75,12.0,10.75,9.0,Play creatively,28,14.5,100,2.3,5,2.0,5.0,3.0,,,,A,Trinidad & Tobago,10.5,21.0,24.5,22.75,8.5,7.25,7.0,11.5,7.75,Pressing,15,10.75,-100,0.7,0,4.0,5.0,1.0,,,,H,WC1,Tri,2024-01-15,2.0-5.0-3.0,4.0-5.0-1.0,PC,86,16.867658276516018
23,2024-01-12 20:00:00,Match 1 in round I of World Cup,Argentina,15.443588848865593,14.394685415879113,21.984610453342643,18.84395181715084,12.75,10.5,13.5,14.5,13.75,21.0,18.0,10.75,8.75,(no tactic),0,14.25,100,2.1,1,2.0,5.0,3.0,,,,H,Rossiya,8.0,26.25,25.5,26.5,11.5,6.0,12.25,11.25,5.25,Counter-attacks,24,14.5,-100,1.0,1,5.0,4.0,1.0,,,,A,WC1,Ros,2024-01-12,2.0-5.0-3.0,5.0-4.0-1.0,N,86,15.443588848865593
24,2024-01-05 23:30:00,Final in America Cup,Argentina,16.859041832050455,14.763302326935742,16.329107119186503,14.986988725828706,20.5,18.0,17.0,17.75,16.5,18.25,16.75,11.0,7.75,(no tactic),0,16.25,0,2.6,3,3.0,5.0,2.0,,,,A,Canada,19.5,19.25,18.5,18.0,14.5,16.0,13.5,11.0,7.75,(no tactic),0,15.25,-100,1.9,4,3.0,5.0,2.0,,,,H,CCF,Can,2024-01-05,3.0-5.0-2.0,3.0-5.0-2.0,N,86,16.859041832050455
25,2024-01-01 23:30:00,Semi-finals in America Cup,Argentina,16.606486243509103,14.343406584186363,22.67183621371393,17.35089506151576,15.25,10.75,12.75,11.75,15.5,24.5,18.75,10.25,8.25,(no tactic),0,17.25,100,2.8,4,2.0,5.0,3.0,,,,N,Chile,5.75,27.0,25.75,23.75,20.75,6.75,13.5,13.75,10.75,Counter-attacks,24,14.75,-100,1.3,1,5.0,4.0,1.0,,,,A,CCSF,Chi,2024-01-01,2.0-5.0-3.0,5.0-4.0-1.0,N,86,16.606486243509103
26,2023-12-29 23:30:00,Quarterfinals in America Cup,Argentina,13.110800505982203,12.888755183269144,13.127435834811164,12.888755183269144,11.5,23.75,25.75,22.75,13.5,13.75,13.5,12.0,8.75,Counter-attacks,18,19.5,-100,2.8,2,4.0,4.0,2.0,,,,N,Bolivia,18.0,7.5,13.0,17.0,13.75,19.0,19.75,12.5,11.25,(no tactic),0,16.25,90,2.2,0,2.0,5.0,3.0,,,,A,CCQF,Bol,2023-12-29,4.0-4.0-2.0,2.0-5.0-3.0,CA,86,13.110800505982203
27,2023-12-22 23:30:00,Round 10 in America Cup,Argentina,12.821931854411012,12.493021084425454,12.93137270142284,12.054669467428068,11.25,22.0,24.5,22.5,14.25,14.75,13.75,11.75,8.25,Counter-attacks,17,17.75,-100,2.4,0,4.0,4.0,2.0,,,,A,Honduras,16.0,11.0,15.5,17.5,9.0,16.75,21.0,11.0,8.75,(no tactic),0,16.5,80,2.0,2,2.0,5.0,3.0,,,,H,CC,Hon,2023-12-22,4.0-4.0-2.0,2.0-5.0-3.0,CA,86,12.821931854411012
28,2023-12-15 23:30:00,Round 9 in America Cup,Argentina,14.01062692311879,12.051262752955237,17.963202971386107,18.872732235760086,14.75,11.5,13.5,15.75,13.25,19.75,20.75,10.75,9.0,(no tactic),0,16.5,100,2.5,4,2.0,5.0,3.0,,,,H,Cuba,7.5,25.25,28.75,25.75,6.25,4.75,16.75,13.25,8.75,Counter-attacks,22,21.0,-100,0.9,0,5.0,4.0,1.0,,,,A,CC,Cub,2023-12-15,2.0-5.0-3.0,5.0-4.0-1.0,N,86,14.01062692311879
29,2023-12-08 23:30:00,Round 8 in America Cup,Argentina,16.197909835607778,14.746472117467244,15.406761913771748,14.08618232116274,14.25,18.0,17.5,18.25,16.75,17.5,16.0,11.75,8.75,(no tactic),0,14.75,0,1.5,0,3.0,5.0,2.0,,,,A,Curaçao,9.25,27.75,28.0,27.5,15.25,4.25,4.5,12.0,6.25,Counter-attacks,21,16.25,-100,0.4,0,5.0,4.0,1.0,,,,H,CC,Cur,2023-12-08,3.0-5.0-2.0,5.0-4.0-1.0,N,86,16.197909835607778
