,Match Datetime,campaign,Competition,scaled midfield,sc_ra,sc_ca,sc_la,Team name,Midfield,Central attack,Central defence,Left attack,Left defence,Right attack,Right defence,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,HomeOrAway,Team name_,Midfield_,Central attack_,Central defence_,Left attack_,Left defence_,Right attack_,Right defence_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,HomeOrAway_,Opponent,Match Date,Tactic short,Match Type,scaled_midfield
21,2024-11-22 20:00:00+01:00,88,Friendly,,,,,England,8.0,17.0,15.25,13.75,17.0,14.25,16.75,8.25,10.0,Normal,0,0,3-4-3,3,4,3,0,-5,10,ZUEPEUHUEUHQQP,H,Oman,8.5,8.0,25.25,11.5,23.0,10.25,23.0,6.0,10.5,Counter-attacks,17,0,5-3-2,5,3,2,1,-10,10,ZHHHQPUEpEQUEU,A,Oma,2024-11-22,N,F,
22,2024-11-15 20:00:00+01:00,88,World Cup,14.761139149173701,13.791899836736675,17.878388677251245,16.60136091459044,England,17.5,17.5,15.75,16.25,15.5,13.5,14.75,8.5,11.0,Normal,0,0,3-5-2,3,5,2,2,3,15,ZHEHEQHQUUQEQP,H,Deutschland,18.75,14.5,19.75,11.75,16.25,11.75,16.25,9.0,11.5,Normal,0,0,3-5-2,3,5,2,3,0,13,ZUEUEUQHUHQWQE,A,Deu,2024-11-15,N,WC2,14.761139149173701
23,2024-11-08 20:00:00+01:00,88,World Cup,15.389395984156867,20.323292132454227,12.506641312279527,12.767196339618682,England,14.5,12.0,16.75,12.25,17.5,19.5,18.0,8.5,11.25,Normal,0,0,3-5-2,3,5,2,1,0,15,ZQEHEUUHUUHUEW,A,Italia,17.75,19.25,12.0,16.0,14.5,16.25,15.25,9.25,10.75,Normal,0,0,2-5-3,2,5,3,1,0,14,UHEEEUUUQHQPQQ,H,Ita,2024-11-08,N,WC2,15.389395984156867
24,2024-11-04 20:00:00+01:00,88,World Cup,13.856730167609914,17.99666680471792,20.708493309538426,17.750137122461506,England,16.25,21.0,10.5,18.0,13.0,18.25,13.25,8.5,10.5,Play creatively,25,0,2-5-3,2,5,3,0,10,14,ZQEEEUUQUUQQUP,H,Latvija,3.25,6.25,32.5,13.25,33.25,13.25,33.25,9.0,13.75,Counter-attacks,25,0,5-3-2,5,3,2,4,-10,12,ZUHUHUHQEEQZEQ,A,Lat,2024-11-04,PC,WC2,13.856730167609914
25,2024-11-01 20:00:00+01:00,88,World Cup,17.395221866224375,11.923806024480886,13.140520924938118,11.923806024480886,England,13.25,13.5,19.25,12.25,19.5,12.25,20.0,8.5,11.75,Normal,0,0,3-5-2,3,5,2,1,-10,14,ZQEHEUUZUQQWQE,A,Latvija,14.75,19.25,14.5,17.75,15.5,17.5,15.75,9.25,11.0,Normal,0,0,3-4-3,3,4,3,2,7,11,ZHEUEUHQEUQPZQ,H,Lat,2024-11-01,N,WC2,17.395221866224375
26,2024-10-28 20:00:00+01:00,88,World Cup,15.287741927331423,15.33603132260466,16.534158769683152,12.939776428447683,England,12.75,17.25,16.25,13.5,14.75,16.0,16.75,8.5,11.0,Normal,0,0,3-5-2,3,5,2,1,0,12,ZQEUEHHHZQQEQP,H,Italia,7.0,9.75,27.25,11.5,27.25,11.0,26.25,8.5,12.0,Counter-attacks,19,0,4-4-2,4,4,2,2,-10,13,UUUEUHUQUEQWQE,A,Ita,2024-10-28,N,WC2,15.287741927331423
27,2024-10-25 20:00:00+02:00,88,World Cup,17.137005867900957,10.90441343838543,12.600655528800942,10.90441343838543,England,10.75,13.0,19.75,11.25,20.5,11.25,21.0,8.5,11.5,Normal,0,0,3-5-2,3,5,2,4,-10,12,ZUEHEQQQZHHWQE,A,Deutschland,11.75,22.0,12.0,17.0,15.25,16.25,15.25,10.25,11.5,Normal,0,0,2-5-3,2,5,3,3,0,14,ZUEEEUUHUQHQQP,H,Deu,2024-10-25,N,WC2,17.137005867900957
28,2024-10-18 20:00:00+02:00,88,World Cup,10.684022228240325,18.1333217380582,19.295714157164493,15.80853689984561,England,13.75,20.75,12.25,17.0,15.0,19.5,16.0,9.0,10.75,Normal,0,0,2-5-3,2,5,3,0,3,12,UTEEEQQQZUQPQH,H,Brasil,6.25,9.5,30.75,10.5,28.75,10.5,29.0,9.0,12.5,Counter-attacks,24,0,5-3-2,5,3,2,2,-10,13,ZQHHTTQUEEQWQE,A,Bra,2024-10-18,N,WC1,10.684022228240325
29,2024-10-11 20:00:00+02:00,88,World Cup,9.339401017156824,13.532679144105071,12.36606887306153,13.532679144105071,England,7.5,13.25,22.75,14.5,24.25,14.5,23.0,9.25,12.5,Counter-attacks,19,0,4-3-3,4,3,3,3,-10,12,UQPEHQTHEEQWQH,A,San Marino,17.0,17.5,13.0,14.0,12.5,11.25,10.0,8.25,9.75,Normal,0,0,2-5-3,2,5,3,2,10,14,ZEUEEUHQUHQQQP,H,San,2024-10-11,CA,WC1,9.339401017156824
30,2024-10-04 20:00:00+02:00,88,World Cup,10.031814962123155,17.212048383640116,9.084136646921175,17.212048383640116,England,9.5,9.5,19.75,18.0,22.0,18.0,22.0,9.75,12.5,Counter-attacks,20,0,4-4-2,4,4,2,2,0,13,UQPEUQQQEUTUEQ,H,Guam,9.25,10.5,26.5,12.25,22.75,12.75,22.75,8.25,12.5,Counter-attacks,23,0,5-3-2,5,3,2,0,-10,21,UHUHHUQEpEQQQE,A,Gua,2024-10-04,CA,WC1,10.031814962123155
