,Match Datetime,Match Type,Team name,scaled midfield,sc_la,sc_ca,sc_ra,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
38,2023-07-07 20:00:00,Match 7 in round I of World Cup,Guatemala,5.65684671523414,13.805951500944467,13.05289960089295,8.534588200583853,8.0,27.0,27.0,27.25,18.25,4.75,4.0,12.75,8.5,Counter-attacks,22,15.0,-100,0.7,0,5,4,1,A,Uruguay,15.75,18.0,16.75,18.5,16.0,15.75,18.25,11.75,9.25,(no tactic),0,15.75,0,1.5,0,3,5,2,H,WC1,Uru,2023-07-07,5-4-1,3-5-2,CA,84,5.65684671523414
39,2023-06-30 20:00:00,Match 6 in round I of World Cup,Guatemala,6.997211206022802,17.277959438601453,5.335840414862214,3.811314582044438,11.25,18.0,18.75,18.75,8.5,12.75,15.0,11.25,9.0,Play creatively,21,13.75,-40,2.0,2,3,4,3,H,Belarus,5.25,22.5,22.75,22.25,16.75,11.25,14.5,11.5,8.0,Counter-attacks,18,16.25,-100,1.4,2,4,3,3,A,WC1,Bel,2023-06-30,3-4-3,4-3-3,PC,84,6.997211206022802
40,2023-06-23 20:00:00,Match 5 in round I of World Cup,Guatemala,7.690464309510058,12.731849243637113,17.824588941091953,18.0792259259647,15.0,17.5,19.5,17.5,7.75,12.75,16.75,11.0,8.25,(no tactic),0,12.0,-30,1.2,2,3,5,2,H,Hayastan,8.5,21.75,23.5,25.0,6.25,12.5,17.0,12.0,8.75,Counter-attacks,22,18.75,-100,0.9,2,5,3,2,A,WC1,Hay,2023-06-23,3-5-2,5-3-2,N,84,7.690464309510058
41,2023-06-16 20:00:00,Match 4 in round I of World Cup,Guatemala,7.636731639184009,5.6843493951325845,6.717867466974873,13.177355415989174,10.25,19.5,20.0,19.0,11.25,11.5,10.25,11.25,9.0,Play creatively,21,13.5,0,1.9,0,3,4,3,A,Slovenija,7.75,20.5,20.5,20.0,17.5,13.0,6.25,10.5,7.25,Counter-attacks,20,12.5,-30,1.1,0,5,3,2,H,WC1,Slo,2023-06-16,3-4-3,5-3-2,PC,84,7.636731639184009
42,2023-06-09 20:00:00,Match 3 in round I of World Cup,Guatemala,5.534806610084411,16.82748122903654,7.624952431907182,16.301622440629146,7.0,24.5,26.25,25.25,16.5,4.25,4.75,12.75,8.5,Counter-attacks,21,15.0,-100,1.3,4,5,4,1,A,ÄŒeskÃ¡ republika,14.0,18.25,15.5,10.5,14.75,15.25,10.5,12.0,11.25,Play creatively,25,10.5,20,2.5,4,2,5,3,H,WC1,ÄŒes,2023-06-09,5-4-1,2-5-3,CA,84,5.534806610084411
43,2023-06-05 20:00:00,Match 2 in round I of World Cup,Guatemala,6.755710738554643,,,,12.0,17.5,17.0,17.75,15.25,16.0,14.25,10.75,9.0,(no tactic),0,12.0,0,1.3,0,3,4,3,H,Uruguay,8.5,23.0,23.0,25.5,16.25,8.0,14.75,12.25,8.5,Counter-attacks,18,16.5,-100,1.1,0,4,4,2,A,WC1,Uru,2023-06-05,3-4-3,4-4-2,N,84,6.755710738554643
44,2023-06-02 20:00:00,Match 1 in round I of World Cup,Guatemala,5.109702847777524,,,,6.0,26.25,24.0,25.5,6.5,8.25,18.75,11.75,8.25,Counter-attacks,21,12.0,-100,0.6,0,5,3,2,A,Belarus,6.75,24.25,22.25,23.0,17.5,7.25,17.0,11.0,7.25,Counter-attacks,19,14.5,-100,0.8,0,5,4,1,H,WC1,Bel,2023-06-02,5-3-2,5-4-1,CA,84,5.109702847777524
45,2023-05-26 20:00:00,Friendly match,Guatemala,,15.49640565229505,9.247854986047045,18.745651998744012,9.5,15.75,16.25,13.75,11.75,14.0,7.0,9.25,7.75,(no tactic),0,11.25,-100,1.6,1,2,5,3,H,Trinidad & Tobago,7.5,14.5,18.75,12.75,10.5,12.25,16.0,10.5,8.0,(no tactic),0,9.5,30,1.0,1,3,4,3,A,F,Tri,2023-05-26,2-5-3,3-4-3,N,84,
46,2023-05-19 20:00:00,Friendly match,Guatemala,,8.73740198016892,5.492081244677607,16.47624373403282,9.5,11.0,15.25,10.0,9.0,11.75,11.5,9.0,7.25,(no tactic),0,11.0,0,1.4,0,2,5,3,A,Paraguay,7.0,16.0,18.75,16.25,10.0,6.5,7.75,11.25,8.25,(no tactic),0,10.5,100,0.8,0,5,4,1,H,F,Par,2023-05-19,2-5-3,5-4-1,N,84,
47,2023-05-12 23:30:00,Round 10 in America Cup,Guatemala,4.44626617385316,14.786026410167876,7.017097279401704,17.041521964261282,7.5,27.5,28.75,27.25,4.25,4.25,16.25,13.25,8.25,Pressing,14,15.0,-100,0.4,0,5,4,1,H,Ecuador,14.75,16.5,16.0,16.0,14.75,14.5,15.25,10.5,8.25,(no tactic),0,16.0,100,0.7,0,3,5,2,A,CC,Ecu,2023-05-12,5-4-1,3-5-2,Pr,84,4.44626617385316
48,2023-05-05 23:30:00,Round 9 in America Cup,Guatemala,8.739295974304897,9.529319719649477,19.058639439298954,19.5601825824384,15.5,17.0,16.5,17.75,13.0,14.25,9.75,11.0,8.75,(no tactic),0,13.5,0,1.6,4,3,5,2,A,Colombia,12.5,20.0,19.5,19.75,10.25,14.25,12.0,12.75,11.0,(no tactic),0,13.75,-30,1.5,4,3,5,2,H,CC,Col,2023-05-05,3-5-2,3-5-2,N,84,8.739295974304897
49,2023-04-28 23:30:00,Round 8 in America Cup,Guatemala,4.68724412863339,12.316660393442271,14.076183306791169,14.076183306791169,7.25,26.5,27.75,26.5,13.5,4.5,3.75,12.5,7.75,Pressing,13,13.75,-100,0.1,1,5,4,1,H,Argentina,18.5,11.25,13.75,13.25,13.75,21.0,18.0,11.0,9.0,(no tactic),0,17.25,100,1.3,1,2,5,3,A,CC,Arg,2023-04-28,5-4-1,2-5-3,Pr,84,4.68724412863339
