,Match Datetime,Match Type,Team name,scaled midfield,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,Midfielder_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,Midfielder_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
21,2024-02-09 20:00:00,Round 5 in Nations Cup,Viá»‡t Nam,11.81733672980619,15.487673884475635,15.487673884475635,14.686587304244137,10.0,15.0,15.0,15.25,14.5,14.5,13.75,10.5,8.75,(no tactic),0,10.5,100,2.4,3,3,5.0,2,,A,San Marino,10.75,13.25,13.25,13.0,14.0,16.25,13.75,9.0,7.75,(no tactic),0,12.0,100,2.3,3,3,4.0,3,,H,NC,San,2024-02-09,3-5.0-2,3-4.0-3,N,86,11.81733672980619
22,2024-02-02 20:00:00,Round 4 in Nations Cup,Viá»‡t Nam,9.070835611435674,13.430629236003757,12.608345813391281,12.88244028759544,7.25,19.5,21.75,18.25,12.25,11.5,11.75,11.5,7.75,Counter-attacks,25,10.0,50,1.7,1,5,3.0,2,,A,Myanmar,11.0,15.0,15.25,14.5,11.5,11.0,10.5,8.5,5.75,(no tactic),0,8.0,-60,1.0,0,3,5.0,2,,H,NC,Mya,2024-02-02,5-3.0-2,3-5.0-2,CA,86,9.070835611435674
23,2024-01-26 20:00:00,Round 3 in Nations Cup,Viá»‡t Nam,10.665224035551876,15.092605770405886,15.915838812428026,15.641427798420645,12.25,15.25,15.0,16.0,13.75,14.5,14.25,11.5,9.5,(no tactic),0,10.5,100,1.7,1,3,5.0,2,,H,Shqiperia,6.75,22.5,23.5,23.75,9.75,9.0,10.0,11.0,7.25,Counter-attacks,20,10.75,-100,0.8,2,5,3.0,2,,A,NC,Shq,2024-01-26,3-5.0-2,5-3.0-2,N,86,10.665224035551876
24,2024-01-19 20:00:00,Round 2 in Nations Cup,Viá»‡t Nam,12.096206677287581,15.174463532644415,15.44543609572735,15.174463532644415,9.5,14.75,16.0,16.75,14.0,14.25,14.0,11.5,9.5,(no tactic),0,10.5,100,2.3,1,3,5.0,2,,A,Al Iraq,11.5,10.75,14.0,11.25,11.0,19.25,14.75,10.25,10.0,Attack in the Middle,25,13.5,100,3.2,3,2,5.0,3,,H,NC,Al ,2024-01-19,3-5.0-2,2-5.0-3,N,86,12.096206677287581
25,2024-01-12 20:00:00,Round 1 in Nations Cup,Viá»‡t Nam,10.62838503508852,13.41311170761893,13.676113897964399,13.15010951727346,7.75,18.5,20.5,18.25,12.75,13.0,12.5,11.75,9.0,Counter-attacks,21,10.5,0,1.1,0,4,4.0,2,,A,AlgÃ©rie,5.0,23.0,24.5,22.75,14.75,6.0,13.75,11.0,8.0,Counter-attacks,22,13.5,-100,1.0,2,5,3.0,2,,H,NC,Alg,2024-01-12,4-4.0-2,5-3.0-2,CA,86,10.62838503508852
26,2024-01-05 20:00:00,Wildcard match 2 in World Cup,Viá»‡t Nam,8.876771419717643,10.89521319240717,8.819934489091517,10.89521319240717,7.0,23.75,24.5,25.75,10.5,8.5,10.5,12.0,7.25,Counter-attacks,24,14.5,-100,1.5,3,5,3.0,2,,A,Prateh Kampuchea,12.5,12.25,9.25,11.5,17.0,19.75,17.75,10.0,7.75,(no tactic),0,15.0,100,2.8,7,2,5.0,3,,H,Q,Pra,2024-01-05,5-3.0-2,2-5.0-3,CA,86,8.876771419717643
27,2024-01-01 20:00:00,Wildcard match 1 in World Cup,Viá»‡t Nam,12.329464557627814,14.728122659346276,18.410153324182843,16.04313361107362,14.0,13.0,14.5,14.5,14.0,17.5,15.25,10.75,8.5,(no tactic),0,12.75,100,1.1,2,3,5.0,2,,H,Prateh Kampuchea,10.0,22.0,25.25,22.0,10.75,10.25,10.75,11.25,7.0,Counter-attacks,20,14.5,-100,1.3,1,4,4.0,2,,A,Q,Pra,2024-01-01,3-5.0-2,4-4.0-2,N,86,12.329464557627814
28,2023-12-29 20:00:00,Friendly match,Viá»‡t Nam,,,,,1.5,18.75,20.5,18.0,10.75,8.75,10.5,11.75,7.75,(no tactic),0,11.0,10,0.3,0,4,5.0,1,,H,Trinidad & Tobago,6.0,15.5,15.5,15.0,12.25,12.75,16.0,10.25,7.5,(no tactic),0,9.75,100,2.2,2,3,5.0,2,,A,F,Tri,2023-12-29,4-5.0-1,3-5.0-2,N,86,
29,2023-12-22 12:00:00,Round 10 in Asia and Oceania Cup,Viá»‡t Nam,10.330117601525044,11.80355352254757,10.998765782373871,13.144866422837069,9.5,20.0,24.5,23.0,11.0,10.25,12.25,12.25,8.25,Counter-attacks,19,13.25,-50,1.5,1,4,4.0,2,,A,Dhivehi Raajje,12.75,15.5,13.0,16.0,16.75,18.75,17.25,10.75,8.75,(no tactic),0,14.0,0,2.3,1,2,5.0,3,,H,CC,Dhi,2023-12-22,4-4.0-2,2-5.0-3,CA,86,10.330117601525044
30,2023-12-15 12:00:00,Round 9 in Asia and Oceania Cup,Viá»‡t Nam,9.064987813091427,13.508601370167646,10.751743947684455,12.130172658926051,8.75,22.75,25.25,21.0,12.25,9.75,11.0,12.25,8.75,Counter-attacks,18,15.25,-100,1.4,1,4,4.0,2,,H,Dawlat Qatar,6.75,16.5,18.0,20.25,18.5,7.5,18.25,10.75,7.75,Counter-attacks,17,15.75,-30,1.1,0,4,4.0,2,,A,CC,Daw,2023-12-15,4-4.0-2,4-4.0-2,CA,86,9.064987813091427
